PPN,Title,Subtitle,Creator,AdditionalCreators,AdditionalCorporateCreators,Language,PhysicalDescription,Place,Date,Publisher,Notes,Shelfmark_Original,PPN_Original,Year
1858515122,"Glühwürmchen-Idyll Aus ""Lysistrata",Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071",Nan,"Berliner Elite-Orchester (Ausführender), Https://D-Nb.Info/Gnd/10197824-8",Zxx,1 Schellackplatte (1 Seite),United Kingdom,1902?,"The Gramophone And Typewriter Ltd., And Sister Companies",German | Orchestra,Spl 6718,1815185880,1902
1915787300,Immer An Der Wand Lang,Rheinländer,Nan,"Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837",Nan,Ger,1 Schellackplatte (2 Seiten),Berlin,1908,Homokord,Orchester Und Orchester Mit Gesang,Spl 7491,1839396253,1908
1870762614,Der Letzte Frou-Frou,Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071","Wehlen, Emmy (Sängerin), Https://D-Nb.Info/Gnd/1144135028', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1302596837', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1307220487",Nan,Ger,1 Schellackplatte (2 Seiten),Erscheinungsort Nicht Ermittelbar,1908?,Zonophone,Soprano W. Orchestra | Erscheinungsdatum Geschätzt,Spl 6738,1810667585,1908
1870761863,Der Zurückgekehrte Taler,Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071","Kettner, Martin (Sängerin), Https://D-Nb.Info/Gnd/116151900', 'Seidler-Winkler, Bruno (Dirigentin), Https://D-Nb.Info/Gnd/127934561', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1307599990', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1307599850",Nan,Ger,1 Schellackplatte (2 Seiten),Berlin,1908?,"The Gramophone Company, And Sister Companies",Comic With Orch | Erscheinungsdatum Anhand Des Aufnahmedatums Geschätzt,Spl 3971,1810668522,1908
1870746953,Donaunixe,"Rheinländer [Aus ""Donnerwetter Tadellos",Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Fall, Leo (Komponistin), Https://D-Nb.Info/Gnd/116396717', 'Fetrás, Oscar (Arrangeurin), Https://D-Nb.Info/Gnd/11647548X', 'Seidler-Winkler, Bruno (Dirigentin), Https://D-Nb.Info/Gnd/127934561', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1305554736', 'Fall, Leo, Https://D-Nb.Info/Gnd/300187750","Seidler-Orchester (Instrumentalmusikerin), Https://D-Nb.Info/Gnd/16130503-9",Zxx,1 Schellackplatte (2 Seiten),Berlin,1908?,"Gramophone Company Limited, And Sister Companies",German | Orchestra | Erscheinungsdatum Anhand Des Aufnahmedatums Geschätzt,Spl 6748,1811011020,1908
1869141725,Der Letzte Frou Frou,Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071","Freund, Julius (Librettistin), Https://D-Nb.Info/Gnd/116781343', 'Massary, Fritzi (Sängerin), Https://D-Nb.Info/Gnd/118731572', 'Pfann, Karl (Sängerin), Https://D-Nb.Info/Gnd/127748377', 'Seidler-Winkler, Bruno (Dirigentin), Https://D-Nb.Info/Gnd/127934561', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1302596837', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1302596926",Nan,Ger,1 Schellackplatte (2 Seiten),Verlagsort Nicht Ermittelbar,1908?,"The Gramophone Company, And Sister Companies",Soprano W. Orch | Tenor W. Orch | Erscheinungsdatum Geschätzt,Spl 3431,1810596432,1908
1869140095,Börsenduett,Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071","Wiedecke, Grete (Sängerin), Https://D-Nb.Info/Gnd/1146283105', 'Arno, Ludwig (Sängerin), Https://D-Nb.Info/Gnd/1262585627', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1305554566', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1305554736",Nan,Ger,1 Schellackplatte (2 Seiten),Einbeck,1908,August Stukenbrock,Erscheinungsdatum Geschätzt,Spl 4533,1810591570,1908
1869139445,Der Gardeleutnant,Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071","Kettner, Martin (Sängerin), Https://D-Nb.Info/Gnd/116151900', 'Bender, Henry (Sängerin), Https://D-Nb.Info/Gnd/116118091', 'Seidler-Winkler, Bruno (Dirigentin), Https://D-Nb.Info/Gnd/127934561', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1305555805', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1305555627",Nan,Ger,1 Schellackplatte (2 Seiten),Berlin,1908?,Zonophone,German Comic With Orch | Erscheinungsdatum Geschätzt,Spl 9934,1807551024,1908
1869130650,Schutzmann-Lied,1. Teil : German Comic With Orch.,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071","Bender, Henry (Ausführender), Https://D-Nb.Info/Gnd/116118091', 'Kettner, Martin (Erzählerin), Https://D-Nb.Info/Gnd/116151900', 'Seidler-Winkler, Bruno (Dirigentin), Https://D-Nb.Info/Gnd/127934561', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1305180240', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1305181026",Nan,Ger,1 Schellackplatte (2 Seiten),Berlin,1908?,Gramophon Concert Record,Erscheinungsdatum Anhand Des Aufnahmedatums Geschätzt,Spl 4542,1804462942,1908
1916013554,Komm Hilf Mir Mal Die Rolle Drehn!,Nan,Nan,"Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837', 'Frey, Hermann (Textdichterin), Https://D-Nb.Info/Gnd/1037812557', 'Schönwald, Gustav (Ausführender), Https://D-Nb.Info/Gnd/1064678408",Nan,Ger,1 Schellackplatte (2 Seiten),Paris?,Ca. 1909,Ultima,"Mit Eingraviertem Etikett; Tiefenschrift; Spielt Von Außen Nach Innen | Erscheinungsjahr Ermittelt Nach: ""Verzeichnis Der 100 Auserlesenen Stücke Auf Doppelseitig Bespielten ""Ultima""-Starkton-Platten"", Im ""Berliner Tageblatt Und Handels-Zeitung"" Vom 1. Dezember 1909, S. 15",Spl 9965,1844921700,1909
