PPN,Title,Subtitle,Creator,AdditionalCreators,AdditionalCorporateCreators,Language,PhysicalDescription,Place,Date,Publisher,Notes,Shelfmark_Original,PPN_Original,License
1869186427,Im Reiche des Indra,Ouvertüre,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Schönherr, Max (DirigentIn), https://d-nb.info/gnd/119100266']","['Deutsches Opernhaus Berlin (AusführendeR), https://d-nb.info/gnd/1215124-5']",zxx,1 Schellackplatte (2 Seiten),[Berlin],[zwischen 1947 und 1953],Imperial,Hergestellt unter der Zulassung Nr. B 503 der Nachrichtenkontrolle der Militärregierung | Erscheinungsdatum geschätzt,SPL 7111,181558565X,Public Domain Mark 1.0
1869185064,Frau Luna,Querschnitt durch die Operette : 1. [und] 2. Teil,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Rose, Traute (SängerIn), https://d-nb.info/gnd/131645161', 'Koch, Helmut (DirigentIn), https://d-nb.info/gnd/123994896']","['Deutsches Opernhaus Berlin (AusführendeR), https://d-nb.info/gnd/1215124-5']",ger,1 Schellackplatte (2 Seiten),[Berlin],[zwischen 1947 und 1953],Imperial,Hergestellt unter der Zulassung Nr. B-503 der Nachrichtenkontrolle der Militärregierung | Erscheinungsdatum nicht ermittelbar. Dieses Label erschien zwischen 1947 und 1953,SPL 12015,1860797547,Public Domain Mark 1.0
1869187369,Die Gigerlkönigin,Rheinländer,,"['Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071', 'Werner-Kersten, Max (KomponistIn), https://d-nb.info/gnd/135402840', 'Lincke, Paul, https://d-nb.info/gnd/1076648118', 'Werner-Kersten, Max, https://d-nb.info/gnd/1125664975']","['Blas-Orchester Carl Woitschach (AusführendeR), https://d-nb.info/gnd/10176149-1']",zxx,1 Schellackplatte (2 Seiten),[Berlin],[um 1946],Telefunken,"Censure. G.M.F.G.B. Visa Nr. 1-4, II, 46 | Auf dem Spiegel eingraviert: G.-L | Erscheinungsdatum geschätzt",SPL 8008,1811324010,Public Domain Mark 1.0
1869187008,"Potpourri über Melodien der Operette ""Im Reiche des Indra""",,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071",,"['Orchester Otto Dobrindt (AusführendeR), https://d-nb.info/gnd/5551426-1']",zxx,1 Schellackplatte (2 Seiten),[Berlin],[zwischen 1946 und 1949],Odeon,Hergestellt unter der Zulassung Nr. B-503 der Nachrichtenkontrolle der Militärregierung | Erscheinungsdatum geschätzt,SPL 5458,1815586168,Public Domain Mark 1.0
1869562755,"Querschnitt durch die Operette ""Frau Luna""",1. [und] 2. Teil,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Rose, Traute (SängerIn), https://d-nb.info/gnd/131645161', 'Koch, Helmut (DirigentIn), https://d-nb.info/gnd/123994896']","['Deutsches Opernhaus Berlin (AusführendeR), https://d-nb.info/gnd/5076846-3', 'Deutsches Opernhaus Berlin (AusführendeR), https://d-nb.info/gnd/1215124-5']",ger,1 Schellackplatte (2 Seiten),[Berlin],[1941?],Imperial,Hergestellt unter der Zulassungsnr. B-503 der Nachrichtenkontrolle der Militärregierung | Erscheinungsdatum geschätzt,SPL 8940,1513573926,Public Domain Mark 1.0
1869565002,Laßt den Kopf nicht hängen,Potpourri,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Etté, Bernard (DirigentIn), https://d-nb.info/gnd/103887490', 'Lincke, Paul, https://d-nb.info/gnd/1106575768', 'Lincke, Paul, https://d-nb.info/gnd/1106575822', 'Lincke, Paul, https://d-nb.info/gnd/1295239175', 'Lincke, Paul, https://d-nb.info/gnd/1302603108']","['Bernhard Etté und Sein Orchester (AusführendeR), https://d-nb.info/gnd/10282600-6']",ger,1 Schellackplatte (2 Seiten),[Berlin],[1938],Odeon,Erscheinungsdatum ermittelt,SPL 8961,1513578421,Public Domain Mark 1.0
1869563336,Verschmähte Liebe,Walzer,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Otto, Hansgeorg (DirigentIn), https://d-nb.info/gnd/126451567', 'Lincke, Paul, https://d-nb.info/gnd/1046209493', 'Lincke, Paul, https://d-nb.info/gnd/1072870134']","['Deutsches Opernhaus Berlin (AusführendeR), https://d-nb.info/gnd/1215124-5']",zxx,1 Schellackplatte (2 Seiten),[Deutschland],[1938?],Telefunken,Gravur auf dem Spiegel: G.-L. * | Erscheinungsdatum geschätzt,SPL 6686,1811902952,Public Domain Mark 1.0
1869563042,Geh'n wir noch ins Café,Marsch aus: Hochparterre links,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Lincke, Paul, https://d-nb.info/gnd/1308097050', 'Lincke, Paul, https://d-nb.info/gnd/1308097166']","['Blas-Orchester Carl Woitschach (AusführendeR), https://d-nb.info/gnd/10176149-1']",zxx,1 Schellackplatte (2 Seiten),[Verlagsort nicht ermittelbar],[1938?],Telefunken,Auf dem Spiegel: O.-Sch | Erscheinungsdatum geschätzt,SPL 7042,1811943187,Public Domain Mark 1.0
191578784X,Resi-Polka,,,"['Woitschach, Carl (KomponistIn), https://d-nb.info/gnd/135354781', 'Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837', 'Kollo, Walter, https://d-nb.info/gnd/300762771']",,zxx,1 Schellackplatte (2 Seiten),[Berlin-Tempelhof],[zwischen 1937 und 1940],Telefunken Musikus,"Erscheinungsjahr ermittelt nach: Das Bilderlexikon der deutschen Schellack-Schallplatten. Band 5 (T-Z). Bear Family Records, 2019, S. 59",SPL 8009,1839398760,Public Domain Mark 1.0
1870051602,Die Gigerlkönigin,Rheinländer,,"['Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071', 'Hoschna, Karl L. (KomponistIn), https://d-nb.info/gnd/135875374', 'Lincke, Paul, https://d-nb.info/gnd/1076648118', 'Hoschna, Karl L., https://d-nb.info/gnd/1274838118']","['Blas-Orchester Carl Woitschach (InstrumentalmusikerIn), https://d-nb.info/gnd/10176149-1']",zxx,1 Schellackplatte (2 Seiten),[Erscheinungsort nicht ermittelbar],[1937],Telefunken Musikus,Erscheinungsdatum ermittelt,SPL 5138,1811293867,Public Domain Mark 1.0
1869565134,Berliner Luft,Marsch,,"['Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071', 'Philippi, Eugen (KomponistIn), https://d-nb.info/gnd/1264420951', 'Lincke, Paul, https://d-nb.info/gnd/1080830774', 'Philippi, Eugen, https://d-nb.info/gnd/130499497X']","['Otto Kermbach mit Seinem Orchester (AusführendeR), https://d-nb.info/gnd/16090509-6']",zxx,1 Schellackplatte (2 Seiten),[Berlin],[1937],Grammophon,Mechanisches Copyright: 1937,SPL 7108,1813257078,Public Domain Mark 1.0
187014600X,"Ouvertüre zu ""Grigri""",,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Seidler-Winkler, Bruno (DirigentIn), https://d-nb.info/gnd/127934561']",,zxx,1 Schellackplatte (2 Seiten),Berlin,[1936?],Electrola Gesellschaft,Erscheinungsdatum geschätzt,SPL 8897,1811332072,Public Domain Mark 1.0
1870147634,Schmeichelkätzchen,Salonstück,,"['Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071', 'Eilenberg, Richard (KomponistIn), https://d-nb.info/gnd/116418893', 'Eilenberg, Richard, https://d-nb.info/gnd/1302610791', 'Lincke, Paul, https://d-nb.info/gnd/1302198963']","['Emil Roosz mit Seinem Tanzorchester, https://d-nb.info/gnd/6110029-8']",zxx,1 Schellackplatte (2 Seiten),Berlin-Reinickendorf,[vor 1935?],Deutsche Crystalate,Elektro-Record | Orchester | Erscheinungsdatum geschätzt,SPL 8666,1811945112,Public Domain Mark 1.0
1870146964,Berliner Luft,Ouvertüre,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071",,"['Otto Kermbach mit Seinem Orchester (AusführendeR), https://d-nb.info/gnd/16090509-6']",zxx,1 Schellackplatte (2 Seiten),[Berlin],[1935],Deutsche Grammophon-Aktiengesellschaft,elektrische Aufnahme | Preisklasse C | Orchester | Mechanisches Copyright: 1935,SPL 7650,1813258198,Public Domain Mark 1.0
1870146727,Im Reiche des Indra,Ouverture,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071",,"['Salon-Orchester Bernard Derksen (InstrumentalmusikerIn), https://d-nb.info/gnd/1295214121']",zxx,1 Schellackplatte (2 Seiten),Berlin-Reinickendorf,[vor 1935?],Kristall-Schallplatten,Orchester | Electro-Record | Erscheinungsdatum geschätzt,SPL 3526,1815271515,Public Domain Mark 1.0
1915784379,Holunderblüten und Maiennacht,Lied,"Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Bretschneider, Carl (TextdichterIn), https://d-nb.info/gnd/1250687152', 'Frey, Hermann (TextdichterIn), https://d-nb.info/gnd/1037812557', 'Ludwig, Walther (SängerIn), https://d-nb.info/gnd/118955055', 'Dobrindt, Otto (DirigentIn), https://d-nb.info/gnd/134360052', 'Kollo, Walter, https://d-nb.info/gnd/1288247931']",,ger,1 Schellackplatte (2 Seiten),[Berlin],[1934],Electrola Gesellschaft m.b.H.,Tenor mit Orch,SPL 5016,183849006X,Public Domain Mark 1.0
1870149041,Lasst den Kopf nicht hängen,"ein Potpourri, I. und II. Teil","Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Stenzel, Otto (DirigentIn), https://d-nb.info/gnd/1012667294', 'Mensing, Max (SängerIn), https://d-nb.info/gnd/142308277', 'Dorn, Paul (SängerIn), https://d-nb.info/gnd/135293588']","['Otto Stenzel von der Scala Berlin mit Seinem Tanzorchester (AusführendeR), https://d-nb.info/gnd/10279979-9']",ger,1 Schellackplatte (2 Seiten),[Berlin],[1934],Tempo,"Aufn.-Datum: [Berlin, ca. 1934] | Erscheinungsdatum anhand des Aufnahmedatums geschätzt",SPL 8613,1411081102,Public Domain Mark 1.0
1870148223,O Frühling wie bist du so schön,,,"['Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071', 'Lehár, Franz (KomponistIn), https://d-nb.info/gnd/118571036', 'Lincke, Paul, https://d-nb.info/gnd/1151260401', 'Lehár, Franz, https://d-nb.info/gnd/300286902']",,zxx,1 Schellackplatte (2 Seiten),Berlin-Reinickendorf,[1934?],Kristall-Schallplatten,Elektro-Record | Orchester | Erscheinungsdatum ermittelt in http://www.musiktiteldb.de/Label/Kr_01.html,SPL 6275,1815209054,Public Domain Mark 1.0
1870151674,Gold und Silber,Walzer,,"['Lehár, Franz (KomponistIn), https://d-nb.info/gnd/118571036', 'Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071', 'Lehár, Franz, https://d-nb.info/gnd/300090714', 'Lincke, Paul, https://d-nb.info/gnd/1071625608']","['Hans Bund mit Seinem Tanz-Orchester (AusführendeR), https://d-nb.info/gnd/10159965-1']",zxx,1 Schellackplatte (2 Seiten),[Berlin],[1933?],Telefunken,Erscheinungsdatum geschätzt,SPL 6159,1807756483,Public Domain Mark 1.0
1870151402,Die Liebe kam vom Märchenland,Lied,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Bolten-Baeckers, Heinrich (TextdichterIn), https://d-nb.info/gnd/116035765', 'Bollmann, Hans Heinz (SängerIn), https://d-nb.info/gnd/132362740', 'Dobrindt, Otto (DirigentIn), https://d-nb.info/gnd/134360052', 'Lincke, Paul, https://d-nb.info/gnd/1186207817', 'Lincke, Paul, https://d-nb.info/gnd/1186195010']",,ger,1 Schellackplatte (2 Seiten),[Berlin],[1933?],Carl Lindström A.-G.,Elektrische Aufnahme | Erscheinungsdatum geschätzt,SPL 3921,1810550475,Public Domain Mark 1.0
1870151054,Laternchen-Walzer,,,"['Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071', 'Lautenschläger, Willi (KomponistIn), https://d-nb.info/gnd/130120561', 'Lincke, Paul, https://d-nb.info/gnd/1305011023', 'Lautenschläger, Willi, https://d-nb.info/gnd/130501233X']","['Salon-Orchester Fred Holms (InstrumentalmusikerIn), https://d-nb.info/gnd/1263880606']",zxx,1 Schellackplatte (2 Seiten),Berlin-Reinickendorf,[zwischen 1933 und 1937],Kristall-Schallplatten,Electro-Record | Orchester | Erscheinungsdatum geschätzt,SPL 6158,1811983928,Public Domain Mark 1.0
