PPN,Title,Subtitle,Creator,AdditionalCreators,AdditionalCorporateCreators,Language,PhysicalDescription,Place,Date,Publisher,Notes,Shelfmark_Original,PPN_Original
1858515122,"Glühwürmchen-Idyll aus ""Lysistrata",,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071",,"['Berliner Elite-Orchester (AusführendeR), https://d-nb.info/gnd/10197824-8']",zxx,1 Schellackplatte (1 Seite),[United Kingdom],[1902?],"The Gramophone and Typewriter Ltd., and Sister Companies",German | Orchestra,SPL 6718,1815185880
1915787300,Immer an der Wand lang,Rheinländer,,"['Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837']",,ger,1 Schellackplatte (2 Seiten),[Berlin],1908,Homokord,Orchester und Orchester mit Gesang,SPL 7491,1839396253
1870762614,Der letzte Frou-Frou,,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Wehlen, Emmy (SängerIn), https://d-nb.info/gnd/1144135028', 'Lincke, Paul, https://d-nb.info/gnd/1302596837', 'Lincke, Paul, https://d-nb.info/gnd/1307220487']",,ger,1 Schellackplatte (2 Seiten),[Erscheinungsort nicht ermittelbar],[1908?],Zonophone,Soprano w. orchestra | Erscheinungsdatum geschätzt,SPL 6738,1810667585
1870761863,Der zurückgekehrte Taler,,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Kettner, Martin (SängerIn), https://d-nb.info/gnd/116151900', 'Seidler-Winkler, Bruno (DirigentIn), https://d-nb.info/gnd/127934561', 'Lincke, Paul, https://d-nb.info/gnd/1307599990', 'Lincke, Paul, https://d-nb.info/gnd/1307599850']",,ger,1 Schellackplatte (2 Seiten),[Berlin],[1908?],"The Gramophone Company, and Sister Companies",Comic with orch | Erscheinungsdatum anhand des Aufnahmedatums geschätzt,SPL 3971,1810668522
1870746953,Donaunixe,"Rheinländer [aus ""Donnerwetter tadellos""]",,"['Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071', 'Fall, Leo (KomponistIn), https://d-nb.info/gnd/116396717', 'Fetrás, Oscar (ArrangeurIn), https://d-nb.info/gnd/11647548X', 'Seidler-Winkler, Bruno (DirigentIn), https://d-nb.info/gnd/127934561', 'Lincke, Paul, https://d-nb.info/gnd/1305554736', 'Fall, Leo, https://d-nb.info/gnd/300187750']","['Seidler-Orchester (InstrumentalmusikerIn), https://d-nb.info/gnd/16130503-9']",zxx,1 Schellackplatte (2 Seiten),[Berlin],[1908?],"Gramophone Company Limited, and Sister Companies",German | Orchestra | Erscheinungsdatum anhand des Aufnahmedatums geschätzt,SPL 6748,1811011020
1869141725,Der letzte Frou Frou,,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Freund, Julius (LibrettistIn), https://d-nb.info/gnd/116781343', 'Massary, Fritzi (SängerIn), https://d-nb.info/gnd/118731572', 'Pfann, Karl (SängerIn), https://d-nb.info/gnd/127748377', 'Seidler-Winkler, Bruno (DirigentIn), https://d-nb.info/gnd/127934561', 'Lincke, Paul, https://d-nb.info/gnd/1302596837', 'Lincke, Paul, https://d-nb.info/gnd/1302596926']",,ger,1 Schellackplatte (2 Seiten),[Verlagsort nicht ermittelbar],[1908?],"The Gramophone Company, and Sister Companies",Soprano w. orch | Tenor w. orch | Erscheinungsdatum geschätzt,SPL 3431,1810596432
1869140095,Börsenduett,,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Wiedecke, Grete (SängerIn), https://d-nb.info/gnd/1146283105', 'Arno, Ludwig (SängerIn), https://d-nb.info/gnd/1262585627', 'Lincke, Paul, https://d-nb.info/gnd/1305554566', 'Lincke, Paul, https://d-nb.info/gnd/1305554736']",,ger,1 Schellackplatte (2 Seiten),Einbeck,[1908],August Stukenbrock,Erscheinungsdatum geschätzt,SPL 4533,1810591570
1869139445,Der Gardeleutnant,,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Kettner, Martin (SängerIn), https://d-nb.info/gnd/116151900', 'Bender, Henry (SängerIn), https://d-nb.info/gnd/116118091', 'Seidler-Winkler, Bruno (DirigentIn), https://d-nb.info/gnd/127934561', 'Lincke, Paul, https://d-nb.info/gnd/1305555805', 'Lincke, Paul, https://d-nb.info/gnd/1305555627']",,ger,1 Schellackplatte (2 Seiten),Berlin,[1908?],Zonophone,German comic with orch | Erscheinungsdatum geschätzt,SPL 9934,1807551024
1869130650,Schutzmann-Lied,1. Teil : German comic with orch.,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Bender, Henry (AusführendeR), https://d-nb.info/gnd/116118091', 'Kettner, Martin (ErzählerIn), https://d-nb.info/gnd/116151900', 'Seidler-Winkler, Bruno (DirigentIn), https://d-nb.info/gnd/127934561', 'Lincke, Paul, https://d-nb.info/gnd/1305180240', 'Lincke, Paul, https://d-nb.info/gnd/1305181026']",,ger,1 Schellackplatte (2 Seiten),[Berlin],[1908?],Gramophon Concert Record,Erscheinungsdatum anhand des Aufnahmedatums geschätzt,SPL 4542,1804462942
1916013554,Komm hilf mir mal die Rolle drehn!,,,"['Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837', 'Frey, Hermann (TextdichterIn), https://d-nb.info/gnd/1037812557', 'Schönwald, Gustav (AusführendeR), https://d-nb.info/gnd/1064678408']",,ger,1 Schellackplatte (2 Seiten),[Paris?],[ca. 1909],Ultima,"Mit eingraviertem Etikett; Tiefenschrift; spielt von außen nach innen | Erscheinungsjahr ermittelt nach: ""Verzeichnis der 100 auserlesenen Stücke auf doppelseitig bespielten ""Ultima""-Starkton-Platten"", im ""Berliner Tageblatt und Handels-Zeitung"" vom 1. Dezember 1909, S. 15",SPL 9965,1844921700
1870694287,Cora,,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Lessing, Madge (SängerIn), https://d-nb.info/gnd/1061304124', 'Kettner, Martin (SängerIn), https://d-nb.info/gnd/116151900', 'Lincke, Paul, https://d-nb.info/gnd/1305841042', 'Lincke, Paul, https://d-nb.info/gnd/1307992293']",,ger,1 Schellackplatte (2 Seiten),[Berlin],[1909?],Grammophon,"Duet w. orch. (Cora) | Soprano w. orch. (Pst, Pst) | Erscheinungsdatum anhand des Aufnahmedatums geschätzt",SPL 3608,181143004X
1870694074,Satyr und Nymphe,,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Freund, Julius (TextdichterIn), https://d-nb.info/gnd/116781343', 'Kettner, Martin (SängerIn), https://d-nb.info/gnd/116151900', 'Perry, Ida (SängerIn), https://d-nb.info/gnd/116082739', 'Pfann, Karl (SängerIn), https://d-nb.info/gnd/127748377', 'Seidler-Winkler, Bruno (DirigentIn), https://d-nb.info/gnd/127934561', 'Lincke, Paul, https://d-nb.info/gnd/1307617425', 'Lincke, Paul, https://d-nb.info/gnd/1305812999']",,ger,1 Schellackplatte (2 Seiten),[Verlagsort nicht ermittelbar],[1909?],Gramophone Co. (and Sister Ciompanies),Duet with orchestra | Erscheinungsdatum anhand des Aufnahmedatums geschätzt,SPL 9880,1811430627
1870692918,Walzer-Duett,"I. [und] II. Teil : aus ""Hallo! Die große Revue!!!""","Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Freund, Julius (TextdichterIn), https://d-nb.info/gnd/116781343', 'Pfann, Karl (SängerIn), https://d-nb.info/gnd/127748377', 'Perry, Ida (SängerIn), https://d-nb.info/gnd/116082739', 'Seidler-Winkler, Bruno (DirigentIn), https://d-nb.info/gnd/127934561']",,ger,1 Schellackplatte (2 Seiten),[London],[1909?],The Gramophone Co. Ltd. (and Sister Companies),Duet w. orch,SPL 3645,1811904378
1870692586,Allerseelen,,,"['Lassen, Eduard (KomponistIn), https://d-nb.info/gnd/118975773', 'Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071', 'Schröter, Erich (SängerIn), https://d-nb.info/gnd/1107043220', 'Lassen, Eduard, https://d-nb.info/gnd/1071580698', 'Lincke, Paul, https://d-nb.info/gnd/1307221173']",,ger,1 Schellackplatte (2 Seiten),[Berlin],[1910?],Gramophone,"Verlag: Hainauer (Allerseelen), Apollo-Verlag (Der einzige Sohn) | Tenor w. orch | Erscheinungsdatum geschätzt",SPL 8587,1815646756
